Event,Region,Place,Location,Player Name,Deck,Engine
Regional,NA,1st,Hilo Hawai,Aidan Jayke Ah Hee,Ryzeal,Fiendsmith
Regional,NA,2nd,Hilo Hawai,Ryan Cade Kuamoo,Ryzeal,No Engine
Regional,NA,Top 4,Hilo Hawai,Austin Jayce H Ah Hee,Maliss,Kashtira
Regional,NA,Top 4,Hilo Hawai,Daniela Casell Sanz,Maliss,No Engine
Regional,NA,Top 8,Hilo Hawai,Hunter Henderson,Mermail,No Engine
Regional,NA,Top 8,Hilo Hawai,Jordan Haruyuki Yamashiro,Tenpai Dragon,No Engine
Regional,NA,Top 8,Hilo Hawai,Brandon Matthew Shoji Cantor,Blackwing,No Engine
Regional,NA,Top 8,Hilo Hawai,Dominic Williams,Virtual World,Swordsoul
Regional,NA,1st,Kenner Louisiana,Trevor Glenn Commer,Ryzeal,Fiendsmith
Regional,NA,2nd,Kenner Louisiana,Jeffery Christopher Rapp Jr,Kashtira,Fiendsmith
Regional,NA,Top 4,Kenner Louisiana,Kobe Louis Short,Kashtira,Fiendsmith
Regional,NA,Top 4,Kenner Louisiana,John Malick Rivera Arroyo,Yubel,Fiendmisth
Regional,NA,Top 8,Kenner Louisiana,Lara A.,Tearlaments,Fiendsmith
Regional,NA,Top 8,Kenner Louisiana,Mason Broussard,Maliss,Sky Striker
Regional,NA,Top 8,Kenner Louisiana,Tyler Demonte Glenn,Ryzeal,Fiendsmith
Regional,NA,Top 8,Kenner Louisiana,Sean Michael Pons,Ryzeal,No Engine
Regional,NA,1st,Spanish Fork Utah,Kevin Ponce,Labrynth,Fiendsmith
Regional,NA,2nd,Spanish Fork Utah,Saulo Flores,Tenpai Dragon,No Engine
Regional,NA,Top 4,Spanish Fork Utah,Cody Muñiz,Ryzeal,Fiendsmith
Regional,NA,Top 4,Spanish Fork Utah,Oscar Ramirez,Fire King,Azamina SE
Regional,NA,Top 8,Spanish Fork Utah,Dominic Ruiz,Ryzeal,No Engine
Regional,NA,Top 8,Spanish Fork Utah,Kevin Roy,Maliss,No Engine
Regional,NA,Top 8,Spanish Fork Utah,Taylor Sager,Maliss,Kashtira
Regional,NA,Top 8,Spanish Fork Utah,Everett Mckay,Ryzeal,Fiendsmith
Regional,NA,1st,Milwaukee Wisconsin,Michael John Wagner,Ryzeal,Fiendsmith
Regional,NA,2nd,Milwaukee Wisconsin,Gabriel Marcos Medina,Maliss,Kashtira
Regional,NA,Top 4,Milwaukee Wisconsin,Jason Willard Bai,Maliss,Sky Striker
Regional,NA,Top 4,Milwaukee Wisconsin,Ryan Michael Merriman,Goblin Biker,Fiendsmith Kash
Regional,NA,Top 8,Milwaukee Wisconsin,Joseph Alexander Alvarez,Buster Blader,Fiendsmith
Regional,NA,Top 8,Milwaukee Wisconsin,Ryan William Donaldson,Ryzeal,No Engine
Regional,NA,Top 8,Milwaukee Wisconsin,Haytam Driouich,Ryzeal,Fiendsmith
