Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Event;Region;Place;Location;Player Name;Deck;Engine;Week
Regional;NA;1st;Hilo Hawai;Aidan Jayke Ah Hee;Ryzeal;Fiendsmith;1
Regional;NA;2nd;Hilo Hawai;Ryan Cade Kuamoo;Ryzeal;No Engine;1
Regional;NA;Top 4;Hilo Hawai;Austin Jayce H Ah Hee;Maliss;Kashtira;1
Regional;NA;Top 4;Hilo Hawai;Daniela Casell Sanz;Maliss;No Engine;1
Regional;NA;Top 8;Hilo Hawai;Hunter Henderson;Mermail;No Engine;1
Regional;NA;Top 8;Hilo Hawai;Jordan Haruyuki Yamashiro;Tenpai Dragon;No Engine;1
Regional;NA;Top 8;Hilo Hawai;Brandon Matthew Shoji Cantor;Blackwing;No Engine;1
Regional;NA;Top 8;Hilo Hawai;Dominic Williams;Virtual World;Swordsoul;1
Regional;NA;1st;Kenner Louisiana;Trevor Glenn Commer;Ryzeal;Fiendsmith;1
Regional;NA;2nd;Kenner Louisiana;Jeffery Christopher Rapp Jr;Kashtira;Fiendsmith;1
Regional;NA;Top 4;Kenner Louisiana;Kobe Louis Short;Kashtira;Fiendsmith;1
Regional;NA;Top 4;Kenner Louisiana;John Malick Rivera Arroyo;Yubel;Fiendsmith;1
Regional;NA;Top 8;Kenner Louisiana;Lara A.;Tearlaments;Fiendsmith;1
Regional;NA;Top 8;Kenner Louisiana;Mason Broussard;Maliss;Sky Striker;1
Regional;NA;Top 8;Kenner Louisiana;Tyler Demonte Glenn;Ryzeal;Fiendsmith;1
Regional;NA;Top 8;Kenner Louisiana;Sean Michael Pons;Ryzeal;No Engine;1
Regional;NA;1st;Spanish Fork Utah;Kevin Ponce;Labrynth;Fiendsmith;1
Regional;NA;2nd;Spanish Fork Utah;Saulo Flores;Tenpai Dragon;No Engine;1
Regional;NA;Top 4;Spanish Fork Utah;Cody Muñiz;Ryzeal;Fiendsmith;1
Regional;NA;Top 4;Spanish Fork Utah;Oscar Ramirez;Fire King;Azamina;1
Regional;NA;Top 8;Spanish Fork Utah;Dominic Ruiz;Ryzeal;No Engine;1
Regional;NA;Top 8;Spanish Fork Utah;Kevin Roy;Maliss;No Engine;1
Regional;NA;Top 8;Spanish Fork Utah;Taylor Sager;Maliss;Kashtira;1
Regional;NA;Top 8;Spanish Fork Utah;Everett Mckay;Ryzeal;Fiendsmith;1
Regional;NA;1st;Milwaukee Wisconsin;Michael John Wagner;Ryzeal;Fiendsmith;1
Regional;NA;2nd;Milwaukee Wisconsin;Gabriel Marcos Medina;Maliss;Kashtira;1
Regional;NA;Top 4;Milwaukee Wisconsin;Jason Willard Bai;Maliss;Sky Striker;1
Regional;NA;Top 4;Milwaukee Wisconsin;Ryan Michael Merriman;Goblin Biker;Fiendsmith;1
Regional;NA;Top 8;Milwaukee Wisconsin;Joseph Alexander Alvarez;Buster Blader;Fiendsmith;1
Regional;NA;Top 8;Milwaukee Wisconsin;Ryan William Donaldson;Ryzeal;No Engine;1
Regional;NA;Top 8;Milwaukee Wisconsin;Haytam Driouich;Ryzeal;Fiendsmith;1
Regional;NA;Top 8;Milwaukee Wisconsin;Mason Lee Mattila;Sky Striker;No Engine;1
Regional;NA;1st;Alhambra Remote Duel;Andrew Henry Williams;Gimmick Puppet;Horus;1
Regional;NA;2nd;Alhambra Remote Duel;Peyton Christopher McDowell;Ritual Beast;Nemesis;1
Regional;NA;Top 4;Alhambra Remote Duel;Ricardo Quintanilla;Ryzeal;Fiendsmith;1
Regional;NA;Top 4;Alhambra Remote Duel;Ken Joseph Gilbert;Ryzeal;Fiendsmith;1
Regional;NA;Top 8;Alhambra Remote Duel;Logan Patrick Johnson;Ryzeal;Fiendsmith;1
Regional;NA;Top 8;Alhambra Remote Duel;Mario Kamar Harvey;Kashtira;Azamina;1
Regional;NA;Top 8;Alhambra Remote Duel;Noah Castro;Melodious;No Engine;1
Regional;NA;Top 8;Alhambra Remote Duel;Hanko Hon Kau Chow;Ryzeal;Fiendsmith;1
Regional;NA;1st;Omaha Nebraska;George Lucas Sacco;Ryzeal;Fiendsmith;1
Regional;NA;2nd;Omaha Nebraska;Samuel Robert Fisher;Mermail;No Engine;1
Regional;NA;Top 4;Omaha Nebraska;Niko DJuan Smith;Ryzeal;No Engine;1
Regional;NA;Top 4;Omaha Nebraska;Minh Le Pham;Maliss;Sky Striker;1
Regional;NA;Top 8;Omaha Nebraska;Eric Brian Hallmark;Maliss;Sky Striker;1
Regional;NA;Top 8;Omaha Nebraska;Thomas Logan Sherard;Kashtira;Fiendsmith;1
Regional;NA;Top 8;Omaha Nebraska;Brandon Thomas Svoboda;Ryzeal;No Engine;1
Regional;NA;Top 8;Omaha Nebraska;Dominic Roy Furr;Ryzeal;Fiendsmith;1
Regional;CA;1st;Monterrey Mexico;Victor Eduardo Figueroa Sanchez;Ryzeal;Fiendsmith;1
Regional;CA;2nd;Monterrey Mexico;Claudio Humberto Gutierrez Hdz;Yubel;Fiendsmith;1
Regional;CA;Top 4;Monterrey Mexico;Adrian Meza Maldonado;Yubel;Fiendsmith;1
Regional;CA;Top 4;Monterrey Mexico;Saulo Gallegos Reyes;Kashtira;Fiendsmith;1
Regional;CA;Top 8;Monterrey Mexico;Miguel Angel Villa Romo;Ryzeal;Fiendsmith;1
Regional;CA;Top 8;Monterrey Mexico;Juan Carlos Ponce Maldonado;Ryzeal;Fiendsmith;1
Regional;CA;Top 8;Monterrey Mexico;Carlos Ismael Estala Coronado;Ryzeal;Fiendsmith;1
Regional;SA;1st;Curitiba Brazil;Anderson Scharlau;Maliss;No Engine;1
Regional;SA;2nd;Curitiba Brazil;Mateus Moreno Fernandes;Voiceless Voice;Fiendsmith;1
Regional;SA;Top 4;Curitiba Brazil;Daniel da Mata Silveira;Tenpai Dragon;Fiendsmith;1
Regional;SA;Top 4;Curitiba Brazil;Guilherme Alessi Schemberger;Branded;No Engine;1
Regional;SA;Top 8;Curitiba Brazil;Alessandro Araujo Oliveira;Maliss;Fiendsmith;1
Regional;SA;Top 8;Curitiba Brazil;Theo Victor Tavares;Mermail;No Engine;1
Regional;SA;Top 8;Curitiba Brazil;Andre Ricardo Flenik Morais;Ryzeal;Fiendsmith;1
Regional;SA;Top 8;Curitiba Brazil;Felipe Urias Moreira da Silva;Tenpai Dragon;Fiendsmith;1
Regional;CA;1st;Managua Nicaragua;Ronald Pacheco;Ryzeal;Fiendsmith;1
Regional;CA;2nd;Managua Nicaragua;Harold Icaza;Yubel;Fiendsmith;1
Regional;CA;Top 4;Managua Nicaragua;Dexter Sequeira;Yubel;Fiendsmith;1
Regional;CA;Top 4;Managua Nicaragua;José Espinoza;Dark World;No Engine;1
Regional;CA;Top 8;Managua Nicaragua;José Ñurinda;Maliss;Sky Striker;1
Regional;CA;Top 8;Managua Nicaragua;Emanuel Tijerino;Goblin Biker;No Engine;1
Regional;CA;Top 8;Managua Nicaragua;Emilio Veliz;Yubel;Fiendsmith;1
Regional;CA;Top 8;Managua Nicaragua;Gustavo Nuñez;Ritual Beast;Nemesis;1
Regional;EU;1st;Ireland Cork;Jordan Gallacher;Maliss;Sky Striker;1
Regional;EU;2nd;Ireland Cork;Hypnocorn Vlad;Maliss;Sky Striker;1
Regional;EU;Top 4;Ireland Cork;Nyon;Ryzeal;No Engine;1
Regional;EU;Top 4;Ireland Cork;Conor McNamara;Magical Musketeer;Fiendsmith;1
Regional;EU;Top 8;Ireland Cork;Declan McGuinn;Kashtira;Fiendsmith;1
Regional;EU;Top 8;Ireland Cork;Cormac Ward;Mimighoul;No Engine;1
Regional;EU;Top 8;Ireland Cork;0hgan;Kashtira;Fiendsmith;1
